"store_id","revenue_loss","cost_loss","loss_rate","priority_level"
77,53136.97,38996.50,1.28,critical
25,34123.62,25167.99,1.44,critical
63,22023.45,15990.30,1.43,high impact
47,20152.72,14439.32,1.67,high impact
33,6962.56,4767.84,0.36,monitor
13,6666.40,4799.60,0.99,monitor
58,6095.52,4263.84,0.45,monitor
50,5725.55,4006.02,0.30,monitor
70,4796.40,3414.60,1.05,monitor
48,4453.62,3069.79,0.47,monitor
15,3418.84,2410.46,0.36,monitor
67,3295.31,2276.26,0.29,monitor
11,2625.48,1768.14,0.66,monitor
20,2470.65,1724.93,0.21,monitor
65,1978.86,1371.27,0.23,monitor
62,1975.80,1357.16,0.29,monitor
6,1895.84,1283.84,0.28,monitor
71,1566.30,1047.65,0.20,monitor
76,1308.48,926.84,0.33,monitor
22,1301.68,898.88,0.24,monitor
35,1263.81,884.77,0.20,monitor
43,1230.87,867.75,0.13,monitor
16,1141.44,815.04,0.20,monitor
44,1092.08,759.44,0.35,monitor
59,994.56,695.52,0.22,monitor
19,934.82,651.88,0.39,monitor
14,839.16,575.82,0.09,monitor
51,813.44,567.30,0.07,monitor
18,770.66,525.76,0.15,monitor
74,733.52,508.27,0.25,monitor
8,662.34,465.69,0.16,monitor
28,655.20,453.44,0.13,monitor
29,582.36,405.72,0.08,monitor
2,575.00,388.70,0.16,monitor
37,469.68,325.28,0.15,monitor
21,318.87,224.37,0.10,monitor
79,221.54,157.13,0.07,monitor
1,145.09,99.33,0.03,monitor
32,117.45,80.91,0.02,monitor
12,60.40,41.10,0.06,monitor
61,21.48,15.16,0.01,monitor
